name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.460000;2.409472e+000;-6.412478e+000;1.008949e+001;3.820645e-002;-2.266769e-002;1.901693e+000;2.871947e+001;-1.562754e+001;4.246714e+001;-1.738851e+001;1.862751e+001;2.280419e-002;1.475215e-001;-2.310549e+000;9.096032e+000;1.194931e+001;3.791748e+002;1.373379e+003;-6.483169e+001;1.276069e+003;-7.304818e+001;2.151914e+003;-6.726768e+001
'unknown';0.470000;2.189773e+000;-6.406208e+000;8.749308e+000;3.984329e-002;-2.985585e-002;1.562929e+000;2.961790e+001;-1.541523e+001;4.142055e+001;-2.170915e+001;1.814474e+001;4.940052e-002;9.798014e-001;-4.067707e+000;0;0;4.354541e+002;1.230491e+003;-5.700851e+001;1.354272e+003;-6.540709e+001;2.124006e+003;-5.936078e+001
'unknown';0.480000;2.041656e+000;-6.405895e+000;7.367380e+000;5.490803e-002;-3.163951e-002;1.302696e+000;2.965953e+001;-1.356788e+001;4.036095e+001;-1.652378e+001;1.893882e+001;7.599685e-002;1.812081e+000;-4.367470e+000;1.223268e+001;9.809291e+000;4.167171e+002;1.153923e+003;-4.836703e+001;1.395344e+003;-5.479655e+001;2.162628e+003;-4.775418e+001
'unknown';0.490000;2.068482e+000;-6.264812e+000;8.237453e+000;5.213950e-002;-2.371507e-002;1.400532e+000;3.077036e+001;-1.706542e+001;4.339743e+001;-1.028272e+001;1.857842e+001;8.231837e-002;2.693093e+000;-6.253110e+000;1.045397e+001;9.135807e+000;3.890628e+002;1.120657e+003;2.792807e+001;1.423643e+003;1.625646e+001;2.192599e+003;2.783928e+001
'unknown';0.500000;1.960643e+000;-7.166641e+000;9.380860e+000;4.396401e-002;-2.115965e-002;1.373516e+000;3.309070e+001;-1.878983e+001;4.293404e+001;-1.026123e+000;1.817921e+001;6.204358e-002;2.741824e+000;-5.583292e+000;6.757011e+000;8.346193e+000;3.768125e+002;1.151483e+003;2.800561e+001;1.389821e+003;1.400731e+001;2.234337e+003;2.626044e+001
'unknown';0.510000;1.889982e+000;-5.696791e+000;7.519539e+000;4.194138e-002;-2.345338e-002;1.806048e+000;3.343866e+001;-2.179809e+001;3.939722e+001;2.834640e+000;1.672725e+001;4.176878e-002;2.790555e+000;-4.402948e+000;3.505828e+000;9.862042e+000;3.884609e+002;1.129627e+003;2.517370e+001;1.377408e+003;7.928670e+000;2.242585e+003;1.992499e+001
'unknown';0.520000;1.775205e+000;-5.313550e+000;6.849791e+000;5.627242e-002;-3.212928e-002;1.700612e+000;3.273019e+001;-1.947942e+001;3.837807e+001;4.489937e+000;1.657820e+001;4.176878e-002;2.790555e+000;-2.414697e+000;3.528650e+000;1.330264e+001;3.836066e+002;1.095241e+003;3.253786e+001;1.376774e+003;1.356010e+001;2.259044e+003;2.361450e+001
'unknown';0.530000;1.576772e+000;-5.739481e+000;1.017014e+001;6.774735e-002;-3.234394e-002;1.887246e+000;2.971020e+001;-1.287427e+001;3.296763e+001;3.802064e+000;1.668810e+001;4.176878e-002;2.790555e+000;-2.639567e+000;6.748629e+000;1.627376e+001;3.747724e+002;1.035466e+003;3.162369e+001;1.385878e+003;1.294892e+001;2.296266e+003;2.030741e+001
'unknown';0.540000;1.346429e+000;-1.013475e+001;1.751727e+001;6.880680e-002;-3.116232e-002;1.377750e+000;2.887654e+001;-3.286110e+000;3.072935e+001;3.505780e+000;1.725152e+001;4.176878e-002;2.790555e+000;-5.116238e+000;9.165598e+000;1.690268e+001;3.643073e+002;1.028343e+003;2.603192e+001;1.400660e+003;1.055835e+001;2.344565e+003;1.550677e+001
'unknown';0.550000;1.033207e+000;-9.934503e+000;1.862170e+001;5.087111e-002;-2.545639e-002;1.169475e+000;2.454360e+001;2.348161e-001;2.717914e+001;5.365773e+000;1.784590e+001;4.176878e-002;2.790555e+000;-6.067867e+000;9.415017e+000;1.566561e+001;3.510215e+002;1.082262e+003;1.057802e+001;1.400644e+003;2.204882e-001;2.372246e+003;2.897937e+000
'unknown';0.560000;8.666956e-001;-9.021445e+000;1.538122e+001;5.339560e-002;-2.238718e-002;7.875596e-001;2.301563e+001;-5.184153e-001;2.515161e+001;6.703384e+000;1.826578e+001;5.776478e-002;3.116459e+000;-5.538553e+000;8.714674e+000;1.627191e+001;3.358490e+002;1.133120e+003;3.806418e+000;1.382368e+003;-2.160199e+000;2.360938e+003;-1.906599e+000
'unknown';0.570000;7.608905e-001;-7.483044e+000;1.231295e+001;3.992900e-002;-1.267247e-002;6.753189e-001;2.069821e+001;-1.551295e+000;1.896147e+001;1.190505e+001;1.818045e+001;6.276894e-002;3.075518e+000;-2.700920e+000;8.651043e+000;1.941189e+001;3.379294e+002;1.193265e+003;3.486130e+000;1.344530e+003;-1.363624e+000;2.344997e+003;-3.588091e+000
'unknown';0.580000;7.061829e-001;-1.065511e+001;1.436638e+001;4.433026e-002;-7.077141e-003;5.183378e-001;2.294893e+001;3.983703e+000;1.098990e+001;1.609861e+001;1.799893e+001;6.777313e-002;3.034578e+000;-2.166060e+000;9.400771e+000;2.278102e+001;3.441850e+002;1.253141e+003;2.507610e+000;1.328668e+003;-1.775967e+000;2.376541e+003;-5.734678e+000
'unknown';0.590000;6.758713e-001;-1.354045e+001;1.948614e+001;2.128688e-002;-2.543004e-003;4.396193e-001;2.227213e+001;1.040839e+001;7.636015e+000;2.346028e+001;1.789994e+001;5.678130e-002;2.667734e+000;-1.950390e+000;1.001364e+001;2.453831e+001;3.460247e+002;1.297174e+003;-6.552174e+001;1.325453e+003;-6.860974e+001;2.389034e+003;-7.183836e+001
'unknown';0.600000;7.083020e-001;-1.275294e+001;2.026600e+001;8.651503e-003;-2.294420e-003;4.329688e-001;1.618222e+001;1.571081e+001;4.625930e+000;2.622018e+001;0;0;0;0;0;0;3.505457e+002;1.303928e+003;-1.337731e+002;1.349884e+003;-1.350658e+002;2.402802e+003;-1.364725e+002
'unknown';0.610000;8.845854e-001;-8.925998e+000;1.653583e+001;5.394328e-003;-1.027333e-003;4.402708e-001;4.297529e+000;2.287074e+001;5.798003e+000;2.868225e+001;0;0;0;0;0;0;6.458027e+002;8.623779e+002;-201;1.688616e+003;-201;2.752017e+003;-201
'unknown';0.620000;1.159298e+000;-7.139909e-001;6.850367e+000;2.178817e-002;-3.999671e-003;5.574999e-001;-7.257761e+000;2.399757e+001;4.313285e+000;2.972303e+001;0;0;0;0;0;0;9.391230e+002;5.022923e+002;-201;2.017041e+003;-1.316552e+002;3.183896e+003;-1.434310e+002
'unknown';0.630000;1.313476e+000;5.812750e+000;-4.642073e-001;4.340231e-002;-1.526513e-003;5.761556e-001;-1.462871e+001;2.360351e+001;4.154717e+000;3.032545e+001;6.087681e+001;4.410701e-002;2.242044e+000;-3.423327e+000;1.177580e+001;4.692542e+001;1.003853e+003;4.842288e+002;0;1.933792e+003;-9.698280e+001;3.137814e+003;-6.956515e+001
